id,label
0,108
1,108
2,108
3,108
4,109
5,109
6,109
7,109
8,110
9,110
10,110
11,110
12,110
13,110
14,110
15,110
16,110
17,110
18,54
19,54
20,54
21,55
22,55
23,55
24,55
25,55
26,55
27,55
28,55
29,55
30,55
31,55
32,56
33,56
34,71
35,71
36,72
37,72
38,72
39,72
40,73
41,73
42,73
43,73
44,73
45,73
46,74
47,74
48,74
49,69
50,70
51,70
52,130
53,130
54,70
55,70
56,70
57,70
58,71
59,71
60,71
61,71
62,71
63,71
64,71
65,54
66,48
67,49
68,49
69,49
70,49
71,49
72,50
73,50
74,50
75,42
76,43
77,43
78,126
79,126
80,126
81,126
82,126
83,127
84,127
85,127
86,128
87,128
88,128
89,128
90,51
91,52
92,52
93,100
94,53
95,53
96,53
97,53
98,111
99,111
100,111
101,111
102,112
103,112
104,112
105,102
106,103
107,103
108,103
109,103
110,103
111,103
112,103
113,103
114,103
115,133
116,133
117,133
118,134
119,104
120,134
121,134
122,134
123,134
124,134
125,10
126,11
127,2
128,109
129,109
130,110
131,109
132,109
133,110
134,109
135,109
136,108
137,108
138,108
139,108
140,108
141,108
142,108
143,108
144,108
145,108
146,108
147,108
148,108
149,108
150,108
151,108
152,108
153,108
154,108
155,108
156,108
157,108
158,9
159,108
160,108
161,108
162,108
163,108
164,108
165,108
166,109
167,109
168,109
169,109
170,109
171,109
172,110
173,110
174,109
175,109
176,109
177,109
178,110
179,110
180,110
181,110
182,38
183,48
184,48
185,48
186,49
187,49
188,50
189,50
190,50
191,132
192,132
193,132
194,133
195,133
196,133
197,134
198,134
199,134
200,24
201,25
202,25
203,42
204,42
205,43
206,44
207,27
208,27
209,27
210,28
211,28
212,28
213,28
214,28
215,28
216,28
217,28
218,28
219,28
220,29
221,29
222,29
223,29
224,57
225,57
226,57
227,58
228,58
229,59
230,59
231,59
232,24
233,25
234,26
235,84
236,85
237,86
238,86
239,86
240,21
241,21
242,22
243,22
244,22
245,22
246,65
247,21
248,22
249,22
250,22
251,22
252,22
253,22
254,22
255,22
256,22
257,22
258,23
259,23
260,23
261,132
262,132
263,132
264,132
265,133
266,134
267,134
268,134
269,42
270,43
271,43
272,44
273,44
274,44
275,51
276,51
277,52
278,52
279,52
280,100
281,100
282,100
283,52
284,52
285,66
286,66
287,67
288,68
289,87
290,87
291,88
292,89
293,89
294,83
295,83
296,24
297,25
298,25
299,26
300,96
301,96
302,96
303,97
304,97
305,97
306,98
307,98
308,98
309,98
310,98
311,98
312,65
313,48
314,21
315,21
316,21
317,49
318,49
319,49
320,49
321,22
322,22
323,22
324,23
325,23
326,23
327,23
328,50
329,102
330,102
331,102
332,103
333,103
334,103
335,103
336,103
337,104
338,104
339,104
340,111
341,112
342,112
343,58
344,58
345,59
346,129
347,129
348,129
349,130
350,130
351,130
352,70
353,131
354,131
355,131
356,131
357,131
358,131
359,131
360,131
361,100
362,49
363,49
364,49
365,49
366,49
367,49
368,49
369,52
370,52
371,100
372,100
373,52
374,52
375,53
376,53
377,53
378,53
379,53
380,9
381,2
382,2
383,108
384,108
385,108
386,108
387,108
388,109
389,45
390,45
391,46
392,46
393,47
394,24
395,25
396,102
397,102
398,102
399,103
400,103
401,103
402,103
403,103
404,103
405,103
406,104
407,104
408,104
409,104
410,54
411,54
412,54
413,55
414,55
415,55
416,55
417,55
418,55
419,55
420,56
421,56
422,56
423,56
424,111
425,78
426,78
427,78
428,78
429,78
430,79
431,79
432,80
433,80
434,120
435,121
436,121
437,121
438,121
439,121
440,121
441,122
442,122
443,122
444,122
445,122
446,66
447,25
448,26
449,132
450,102
451,102
452,102
453,103
454,103
455,133
456,103
457,134
458,134
459,57
460,57
461,57
462,58
463,58
464,58
465,58
466,59
467,59
468,59
469,51
470,51
471,51
472,52
473,52
474,52
475,52
476,52
477,52
478,52
479,52
480,52
481,53
482,81
483,81
484,82
485,82
486,82
487,86
488,86
489,86
490,105
491,105
492,105
493,106
494,106
495,106
496,106
497,106
498,106
499,106
500,107
501,107
502,107
503,99
504,99
505,100
506,100
507,91
508,91
509,91
510,91
511,91
512,91
513,92
514,92
515,92
516,92
517,111
518,112
519,113
520,18
521,25
522,25
523,25
524,25
525,25
526,25
527,26
528,26
529,26
530,96
531,96
532,97
533,97
534,97
535,98
536,66
537,66
538,67
539,68
540,26
541,111
542,39
543,112
544,112
545,103
546,103
547,103
548,103
549,103
550,103
551,104
552,107
553,107
554,24
555,26
556,84
557,86
558,86
559,18
560,18
561,19
562,19
563,19
564,34
565,34
566,34
567,34
568,34
569,34
570,34
571,34
572,34
573,34
574,34
575,35
576,35
577,35
578,35
579,56
580,56
581,84
582,84
583,85
584,85
585,85
586,85
587,85
588,83
589,83
590,86
591,51
592,121
593,121
594,121
595,130
596,130
597,130
598,130
599,130
600,130
601,131
602,131
603,131
604,27
605,27
606,27
607,27
608,28
609,28
610,28
611,29
612,29
613,52
614,53
615,53
616,75
617,75
618,75
619,76
620,76
621,76
622,77
623,77
624,77
625,24
626,24
627,25
628,26
629,81
630,26
631,83
632,96
633,96
634,97
635,97
636,97
637,98
638,98
639,98
640,98
641,98
642,98
643,54
644,54
645,54
646,49
647,49
648,49
649,50
650,42
651,42
652,111
653,113
654,113
655,66
656,25
657,68
658,84
659,84
660,85
661,113
662,113
663,44
664,52
665,52
666,52
667,100
668,52
669,52
670,52
671,52
672,53
673,53
674,53
675,132
676,132
677,132
678,133
679,133
680,133
681,134
682,134
683,137
684,137
685,74
686,48
687,54
688,48
689,67
690,67
691,67
692,68
693,84
694,84
695,84
696,85
697,85
698,86
699,46
700,46
701,47
702,24
703,25
704,26
705,78
706,79
707,79
708,79
709,126
710,127
711,127
712,127
713,128
714,128
715,80
716,80
717,80
718,69
719,69
720,55
721,56
722,56
723,56
724,111
725,111
726,112
727,113
728,66
729,67
730,68
731,68
732,102
733,102
734,102
735,102
736,103
737,133
738,104
739,104
740,104
741,113
742,113
743,75
744,75
745,76
746,76
747,77
748,77
749,27
750,126
751,126
752,126
753,77
754,126
755,126
756,126
757,27
758,27
759,117
760,117
761,27
762,28
763,28
764,28
765,28
766,28
767,28
768,29
769,99
770,99
771,100
772,101
773,112
774,113
775,113
776,51
777,52
778,52
779,52
780,16
781,17
782,17
783,17
784,17
785,53
786,53
787,17
788,17
789,17
790,17
791,17
792,2
793,2
794,2
795,110
796,45
797,10
